,list_price,bathrooms,sqft,parking,mean_district_income,district_code,final_price_transformed,final_price_log,bedrooms_ag,bedrooms_bg
6372,649000,1,650.0,0,70600,77,2.3906485300108926,13.369223455335854,1,1
6374,549900,1,650.0,1,34597,72,2.3901967870468037,13.253391639810731,1,0
6375,449900,1,650.0,0,47384,19,2.38908454132808,12.989974189358584,1,0
6376,459000,2,1100.0,1,30878,137,2.389675621232747,13.126355398673866,2,1
6378,529900,1,750.0,0,63012,71,2.3897624379943285,13.1470559899947,1,0
6379,1998000,4,2750.0,4,101551,9,2.393978787241834,14.457364444136669,5,0
6380,599000,1,650.0,1,58915,73,2.390618625126211,13.36138027787483,1,0
6382,3380000,5,4250.0,4,101551,9,2.3951422758763448,14.99416555430592,4,1
6383,1029000,3,2750.0,2,40972,134,2.3920686372903237,13.77468856344402,4,0
6384,559900,1,650.0,1,70623,82,2.390125818159646,13.235692062711331,1,0
6385,575000,1,650.0,1,70623,82,2.3901615250431543,13.244581010128575,1,1
6386,749900,2,1750.0,2,32291,135,2.3912984071954755,13.546323068148656,3,1
6387,448000,2,850.0,2,30878,137,2.38908454132808,12.989974189358584,2,0
6388,699000,1,850.0,1,70600,77,2.391459658356962,13.592367006650065,1,1
6389,799000,4,2250.0,1,36232,120,2.391523844130559,13.610943392223,3,1
6391,534500,1,550.0,1,70623,82,2.3898977843796256,13.1796884440236,1,1
6393,382000,1,650.0,1,30414,129,2.38838195911398,12.837344422372032,1,1
6394,659888,4,1900.0,1,30033,138,2.3908212559471185,13.415032991367148,3,1
6396,769000,2,950.0,1,70623,82,2.39127982610651,13.541073712262516,2,1
6397,515000,1,650.0,1,52787,14,2.389822922101593,13.16158409055761,1,1
6398,535000,1,650.0,1,45326,51,2.3897827379527747,13.151922179645874,1,0
6399,798000,2,1100.0,2,34904,36,2.3913488023338427,13.560618308335483,2,1
6400,539800,1,550.0,0,70623,82,2.3899402616859,13.190022025878145,1,0
6402,439000,1,650.0,1,31825,128,2.3890280544651774,12.977337605354071,1,1
6404,764000,3,1700.0,1,47709,20,2.3912469735012363,13.531820506782031,3,0
6406,678000,2,650.0,1,72371,38,2.3907073584091303,13.38472764187182,1,1
6407,849900,2,1300.0,1,58915,73,2.3926226918486093,13.953531855861648,3,0
6408,390000,1,750.0,1,29573,132,2.3885181403354534,12.86617997201192,1,1
6412,429900,1,650.0,1,51181,33,2.3890228688483197,12.976180867226248,1,1
6417,299000,1,950.0,1,29573,132,2.387476515887841,12.65395846952229,2,0
6419,2075000,2,1500.0,1,56526,76,2.394101543683495,14.50865773852422,2,1
6422,868000,2,1300.0,2,35047,119,2.391667308524418,13.652991628466498,3,2
6424,534999,1,650.0,1,52787,14,2.38992488726054,13.186276703147982,1,1
6425,625000,2,750.0,1,54460,94,2.390479806696232,13.32530422140102,1,1
6426,415900,1,650.0,1,33256,127,2.3887634912170586,12.9190224533863,1,1
6427,579900,1,650.0,1,65274,106,2.3901615250431543,13.244581010128575,1,0
6429,1898000,5,4250.0,6,54045,133,2.3938257807166003,14.394928973195876,4,0
6430,145000,2,1300.0,1,25989,24,2.3828728003623745,11.891361900690471,3,0
6433,647700,3,1750.0,2,54045,133,2.3907932372018963,13.407542319637992,3,0
6435,699000,2,750.0,1,70600,77,2.391160471429336,13.507625778194974,1,1
